sabores;proteínas;carboidratos;gorduras totais;calorias
Almôndegas de carne ao molho sugo com espaguete integral;29;67;10.3;435
Almôndegas de frango ao molho sugo com espaguete integral;24;58;9.3;415
Arroz colorido com frango ao molho barbecue (cenoura, vagem e cebola);30,3;43,2;5,2;350
Arroz de lentilha com frango desfiado (pimentão vermelho e salsa);47.3;30.2;12;322
Espaguete integral ao molho bolonhesa;29.4;46.3;8.5;417
Feijão de lentilhas com couve-flor, espinafre, e arroz integral com salsa;12,5; 51; 4; 297
Frango ao curry vermelho com leite de coco e arroz branco;39.2;45.2;7;398
Frango desfiado ao curry cremoso com cenoura ralada e arroz integral;39.5;75.2;8.5;403
Frango desfiado ao molho fricassê (frango, cebola, tomate, creme de milho e ervilha americana) e espaguete integral;35.1;55;18.3;528
Frango desfiado com salada de grão de bico (grão de bico, pimentões, cenoura e frango desfiado) e arroz integral;35.5;51.4;12.5;469
Frango em cubos ao molho branco com espaguete integral com salsa e alho;31.4;44;8.2;379
Frango em cubos ao molho curry com cebolinha e arroz integral com brócolis;31;42,1;9,2;383
Frango gratinado no forno ao molho de mostarda light e espaguete integral (alho, azeite, salsa e pimenta);50,3; 25,8; 7,9; 377
Macarrão parafuso com frango desfiado, tomate, pimentão verde, e  orégano ao creme de leite light;17;53;21;454
Macarrão penne ao molho sugo com frango e brócolis;47.5;45.3;5.7;374
Macarrão penne integral ao molho parisiense light;34.5;59;11.2;463
Macarrão Penne Integral à Bolonhesa;24,2; 47,0; 9,0; 351
Nhoque de batata doce ao molho bolonhesa;24,9;36,3;8,5;417
Patinho moído com espaguete integral e legumes cozidos (cenoura e batata doce);25,4; 47; 8; 359
Risoto de frango ao molho curry com leite de coco e brócolis;31.4;54.4;11;457
Risoto de frango ao molho branco light;33;49.6;9;417
Risoto de frango (cenoura e milho);;;;
Risoto de palmito ao molho branco light (ervilha americana e cenoura) e arroz integral;10;68,1;12;422
Salpicão de frango com grão de bico (grão de bico, pimentões, milho e Cenoura ralada);36.4;29.6;16.4;358
Sopa de feijão batida com legumes cozidos (cenoura, abobrinha e batata doce);15.2;41.6;4.4;272
Strogonoff de frango com arroz branco com milho e brócolis;26;50.3;7.3;395
